R90: 90 -- North: 0, East: 0, South: 0, West: 0
R180: 270 -- North: 0, East: 0, South: 167, West: 143
W5: 90 -- North: 0, East: 0, South: 167, West: 143
R90: 90 -- North: 0, East: 0, South: 167, West: 148
E1: 180 -- North: 0, East: 0, South: 167, West: 148
F79: 180 -- North: 0, East: 147, South: 167, West: 0
W2: 180 -- North: 0, East: 147, South: 246, West: 0
R90: 180 -- North: 0, East: 0, South: 246, West: 145
F70: 270 -- North: 0, East: 0, South: 246, West: 145
S2: 270 -- North: 0, East: 0, South: 246, West: 215
F17: 270 -- North: 0, East: 0, South: 248, West: 215
S5: 270 -- North: 0, East: 0, South: 248, West: 232
S3: 270 -- North: 0, East: 0, South: 253, West: 232
F41: 270 -- North: 0, East: 0, South: 256, West: 232
N4: 270 -- North: 0, East: 0, South: 256, West: 273
E5: 270 -- North: 252, East: 0, South: 0, West: 273
F65: 270 -- North: 252, East: 268, South: 0, West: 0
E1: 270 -- North: 252, East: 0, South: 0, West: 203
N4: 270 -- North: 252, East: 202, South: 0, West: 0
E4: 270 -- North: 256, East: 202, South: 0, West: 0
S3: 270 -- North: 256, East: 206, South: 0, West: 0
F1: 270 -- North: 0, East: 206, South: 253, West: 0
N1: 270 -- North: 0, East: 0, South: 253, West: 205
E5: 270 -- North: 252, East: 0, South: 0, West: 205
F73: 270 -- North: 252, East: 200, South: 0, West: 0
S5: 270 -- North: 252, East: 0, South: 0, West: 127
F4: 270 -- North: 0, East: 0, South: 247, West: 127
L90: 270 -- North: 0, East: 0, South: 247, West: 131
F100: 180 -- North: 0, East: 0, South: 247, West: 131
E2: 180 -- North: 0, East: 0, South: 347, West: 131
S5: 180 -- North: 0, East: 129, South: 347, West: 0
E2: 180 -- North: 0, East: 129, South: 352, West: 0
F67: 180 -- North: 0, East: 131, South: 352, West: 0
N3: 180 -- North: 0, East: 131, South: 419, West: 0
F27: 180 -- North: 416, East: 131, South: 0, West: 0
S4: 180 -- North: 0, East: 131, South: 389, West: 0
E4: 180 -- North: 0, East: 131, South: 393, West: 0
F12: 180 -- North: 0, East: 135, South: 393, West: 0
S4: 180 -- North: 0, East: 135, South: 405, West: 0
W3: 180 -- North: 0, East: 135, South: 409, West: 0
W2: 180 -- North: 0, East: 0, South: 409, West: 132
F10: 180 -- North: 0, East: 0, South: 409, West: 134
L90: 180 -- North: 0, East: 0, South: 419, West: 134
N5: 90 -- North: 0, East: 0, South: 419, West: 134
E2: 90 -- North: 414, East: 0, South: 0, West: 134
R90: 90 -- North: 414, East: 132, South: 0, West: 0
W4: 180 -- North: 414, East: 132, South: 0, West: 0
F76: 180 -- North: 414, East: 0, South: 0, West: 128
S5: 180 -- North: 0, East: 0, South: 338, West: 128
F48: 180 -- North: 0, East: 0, South: 343, West: 128
R90: 180 -- North: 0, East: 0, South: 391, West: 128
F28: 270 -- North: 0, East: 0, South: 391, West: 128
L90: 270 -- North: 0, East: 0, South: 391, West: 156
F36: 180 -- North: 0, East: 0, South: 391, West: 156
N4: 180 -- North: 0, East: 0, South: 427, West: 156
F27: 180 -- North: 423, East: 0, South: 0, West: 156
E4: 180 -- North: 0, East: 0, South: 396, West: 156
N3: 180 -- North: 0, East: 152, South: 396, West: 0
F12: 180 -- North: 393, East: 152, South: 0, West: 0
L90: 180 -- North: 0, East: 152, South: 381, West: 0
S1: 90 -- North: 0, East: 152, South: 381, West: 0
R180: 90 -- North: 0, East: 152, South: 382, West: 0
S2: 270 -- North: 0, East: 152, South: 382, West: 0
F77: 270 -- North: 0, East: 152, South: 384, West: 0
E2: 270 -- North: 0, East: 0, South: 384, West: 75
N5: 270 -- North: 0, East: 73, South: 384, West: 0
E3: 270 -- North: 379, East: 73, South: 0, West: 0
S2: 270 -- North: 379, East: 76, South: 0, West: 0
E1: 270 -- North: 0, East: 76, South: 377, West: 0
L90: 270 -- North: 0, East: 77, South: 377, West: 0
E5: 180 -- North: 0, East: 77, South: 377, West: 0
W4: 180 -- North: 0, East: 82, South: 377, West: 0
F3: 180 -- North: 0, East: 0, South: 377, West: 78
W4: 180 -- North: 0, East: 0, South: 380, West: 78
L90: 180 -- North: 0, East: 0, South: 380, West: 82
N2: 90 -- North: 0, East: 0, South: 380, West: 82
E1: 90 -- North: 378, East: 0, South: 0, West: 82
F61: 90 -- North: 378, East: 81, South: 0, West: 0
W4: 90 -- North: 378, East: 142, South: 0, West: 0
F12: 90 -- North: 378, East: 0, South: 0, West: 138
N2: 90 -- North: 378, East: 126, South: 0, West: 0
F41: 90 -- North: 380, East: 126, South: 0, West: 0
W2: 90 -- North: 380, East: 167, South: 0, West: 0
W4: 90 -- North: 380, East: 0, South: 0, West: 165
L90: 90 -- North: 380, East: 0, South: 0, West: 169
W3: 0 -- North: 380, East: 0, South: 0, West: 169
F42: 0 -- North: 380, East: 0, South: 0, West: 172
S5: 0 -- North: 422, East: 0, South: 0, West: 172
W4: 0 -- North: 0, East: 0, South: 417, West: 172
N5: 0 -- North: 0, East: 0, South: 417, West: 176
E5: 0 -- North: 412, East: 0, South: 0, West: 176
F94: 0 -- North: 412, East: 171, South: 0, West: 0
W5: 0 -- North: 506, East: 171, South: 0, West: 0
R90: 0 -- North: 506, East: 0, South: 0, West: 166
W3: 90 -- North: 506, East: 0, South: 0, West: 166
R90: 90 -- North: 506, East: 0, South: 0, West: 169
E2: 180 -- North: 506, East: 0, South: 0, West: 169
S3: 180 -- North: 506, East: 167, South: 0, West: 0
L90: 180 -- North: 0, East: 167, South: 503, West: 0
E1: 90 -- North: 0, East: 167, South: 503, West: 0
S4: 90 -- North: 0, East: 168, South: 503, West: 0
W1: 90 -- North: 0, East: 168, South: 507, West: 0
L90: 90 -- North: 0, East: 0, South: 507, West: 167
E4: 0 -- North: 0, East: 0, South: 507, West: 167
F57: 0 -- North: 0, East: 163, South: 507, West: 0
S3: 0 -- North: 450, East: 163, South: 0, West: 0
S4: 0 -- North: 0, East: 163, South: 447, West: 0
W4: 0 -- North: 0, East: 163, South: 451, West: 0
S1: 0 -- North: 0, East: 0, South: 451, West: 159
W2: 0 -- North: 0, East: 0, South: 452, West: 159
F22: 0 -- North: 0, East: 0, South: 452, West: 161
W5: 0 -- North: 430, East: 0, South: 0, West: 161
L180: 0 -- North: 430, East: 0, South: 0, West: 166
F93: 180 -- North: 430, East: 0, South: 0, West: 166
R90: 180 -- North: 0, East: 0, South: 337, West: 166
N2: 270 -- North: 0, East: 0, South: 337, West: 166
R90: 270 -- North: 335, East: 0, South: 0, West: 166
E5: 0 -- North: 335, East: 0, South: 0, West: 166
R180: 0 -- North: 335, East: 161, South: 0, West: 0
E5: 180 -- North: 335, East: 161, South: 0, West: 0
F22: 180 -- North: 335, East: 166, South: 0, West: 0
R90: 180 -- North: 0, East: 166, South: 313, West: 0
F61: 270 -- North: 0, East: 166, South: 313, West: 0
E4: 270 -- North: 0, East: 0, South: 313, West: 105
L180: 270 -- North: 0, East: 101, South: 313, West: 0
E2: 90 -- North: 0, East: 101, South: 313, West: 0
L90: 90 -- North: 0, East: 103, South: 313, West: 0
W5: 0 -- North: 0, East: 103, South: 313, West: 0
L90: 0 -- North: 0, East: 0, South: 313, West: 98
N1: 270 -- North: 0, East: 0, South: 313, West: 98
E1: 270 -- North: 312, East: 0, South: 0, West: 98
N3: 270 -- North: 312, East: 97, South: 0, West: 0
W3: 270 -- North: 315, East: 97, South: 0, West: 0
L90: 270 -- North: 315, East: 0, South: 0, West: 94
N2: 180 -- North: 315, East: 0, South: 0, West: 94
W4: 180 -- North: 317, East: 0, South: 0, West: 94
S1: 180 -- North: 317, East: 0, South: 0, West: 98
L180: 180 -- North: 0, East: 0, South: 316, West: 98
W5: 0 -- North: 0, East: 0, South: 316, West: 98
S4: 0 -- North: 0, East: 0, South: 316, West: 103
F69: 0 -- North: 0, East: 0, South: 320, West: 103
R90: 0 -- North: 251, East: 0, South: 0, West: 103
N2: 90 -- North: 251, East: 0, South: 0, West: 103
R90: 90 -- North: 253, East: 0, South: 0, West: 103
N3: 180 -- North: 253, East: 0, South: 0, West: 103
R90: 180 -- North: 256, East: 0, South: 0, West: 103
F100: 270 -- North: 256, East: 0, South: 0, West: 103
S2: 270 -- North: 256, East: 0, South: 0, West: 203
L180: 270 -- North: 0, East: 0, South: 254, West: 203
F13: 90 -- North: 0, East: 0, South: 254, West: 203
S4: 90 -- North: 0, East: 190, South: 254, West: 0
E3: 90 -- North: 0, East: 190, South: 258, West: 0
L90: 90 -- North: 0, East: 193, South: 258, West: 0
F88: 0 -- North: 0, East: 193, South: 258, West: 0
W3: 0 -- North: 170, East: 193, South: 0, West: 0
N4: 0 -- North: 170, East: 0, South: 0, West: 190
R90: 0 -- North: 174, East: 0, South: 0, West: 190
W3: 90 -- North: 174, East: 0, South: 0, West: 190
R90: 90 -- North: 174, East: 0, South: 0, West: 193
F19: 180 -- North: 174, East: 0, South: 0, West: 193
E4: 180 -- North: 0, East: 0, South: 155, West: 193
F28: 180 -- North: 0, East: 189, South: 155, West: 0
W3: 180 -- North: 0, East: 189, South: 183, West: 0
R90: 180 -- North: 0, East: 0, South: 183, West: 186
N2: 270 -- North: 0, East: 0, South: 183, West: 186
F5: 270 -- North: 181, East: 0, South: 0, West: 186
W4: 270 -- North: 181, East: 0, South: 0, West: 191
F88: 270 -- North: 181, East: 0, South: 0, West: 195
S3: 270 -- North: 181, East: 0, South: 0, West: 283
L180: 270 -- North: 0, East: 0, South: 178, West: 283
F14: 90 -- North: 0, East: 0, South: 178, West: 283
N4: 90 -- North: 0, East: 269, South: 178, West: 0
R180: 90 -- North: 174, East: 269, South: 0, West: 0
W3: 270 -- North: 174, East: 269, South: 0, West: 0
N1: 270 -- North: 174, East: 0, South: 0, West: 266
F87: 270 -- North: 175, East: 0, South: 0, West: 266
N2: 270 -- North: 175, East: 0, South: 0, West: 353
F73: 270 -- North: 177, East: 0, South: 0, West: 353
S1: 270 -- North: 177, East: 0, South: 0, West: 426
F53: 270 -- North: 0, East: 0, South: 176, West: 426
N1: 270 -- North: 0, East: 0, South: 176, West: 479
L90: 270 -- North: 175, East: 0, South: 0, West: 479
S2: 180 -- North: 175, East: 0, South: 0, West: 479
L180: 180 -- North: 0, East: 0, South: 173, West: 479
W5: 0 -- North: 0, East: 0, South: 173, West: 479
N2: 0 -- North: 0, East: 0, South: 173, West: 484
L90: 0 -- North: 171, East: 0, South: 0, West: 484
R90: 270 -- North: 171, East: 0, South: 0, West: 484
F1: 0 -- North: 171, East: 0, South: 0, West: 484
L90: 0 -- North: 172, East: 0, South: 0, West: 484
E1: 270 -- North: 172, East: 0, South: 0, West: 484
R90: 270 -- North: 172, East: 483, South: 0, West: 0
N3: 0 -- North: 172, East: 483, South: 0, West: 0
F73: 0 -- North: 175, East: 483, South: 0, West: 0
E4: 0 -- North: 248, East: 483, South: 0, West: 0
F58: 0 -- North: 248, East: 487, South: 0, West: 0
S5: 0 -- North: 306, East: 487, South: 0, West: 0
E3: 0 -- North: 0, East: 487, South: 301, West: 0
E4: 0 -- North: 0, East: 490, South: 301, West: 0
F88: 0 -- North: 0, East: 494, South: 301, West: 0
L90: 0 -- North: 213, East: 494, South: 0, West: 0
E3: 270 -- North: 213, East: 494, South: 0, West: 0
L90: 270 -- North: 213, East: 497, South: 0, West: 0
F8: 180 -- North: 213, East: 497, South: 0, West: 0
N2: 180 -- North: 0, East: 497, South: 205, West: 0
W3: 180 -- North: 203, East: 497, South: 0, West: 0
F62: 180 -- North: 203, East: 0, South: 0, West: 494
S3: 180 -- North: 0, East: 0, South: 141, West: 494
F25: 180 -- North: 0, East: 0, South: 144, West: 494
E3: 180 -- North: 0, East: 0, South: 169, West: 494
N5: 180 -- North: 0, East: 491, South: 169, West: 0
F24: 180 -- North: 164, East: 491, South: 0, West: 0
F21: 180 -- North: 0, East: 491, South: 140, West: 0
W1: 180 -- North: 0, East: 491, South: 161, West: 0
S3: 180 -- North: 0, East: 0, South: 161, West: 490
W3: 180 -- North: 0, East: 0, South: 164, West: 490
F18: 180 -- North: 0, East: 0, South: 164, West: 493
S5: 180 -- North: 0, East: 0, South: 182, West: 493
F93: 180 -- North: 0, East: 0, South: 187, West: 493
L90: 180 -- North: 0, East: 0, South: 280, West: 493
N3: 90 -- North: 0, East: 0, South: 280, West: 493
L180: 90 -- North: 277, East: 0, South: 0, West: 493
S5: 270 -- North: 277, East: 0, South: 0, West: 493
F55: 270 -- North: 0, East: 0, South: 272, West: 493
W1: 270 -- North: 0, East: 0, South: 272, West: 548
F38: 270 -- North: 0, East: 0, South: 272, West: 549
L90: 270 -- North: 0, East: 0, South: 272, West: 587
E2: 180 -- North: 0, East: 0, South: 272, West: 587
L180: 180 -- North: 0, East: 585, South: 272, West: 0
F66: 0 -- North: 0, East: 585, South: 272, West: 0
S3: 0 -- North: 206, East: 585, South: 0, West: 0
F55: 0 -- North: 0, East: 585, South: 203, West: 0
R90: 0 -- North: 148, East: 585, South: 0, West: 0
N5: 90 -- North: 148, East: 585, South: 0, West: 0
R90: 90 -- North: 153, East: 585, South: 0, West: 0
F31: 180 -- North: 153, East: 585, South: 0, West: 0
R90: 180 -- North: 0, East: 585, South: 122, West: 0
F70: 270 -- North: 0, East: 585, South: 122, West: 0
L90: 270 -- North: 0, East: 0, South: 122, West: 515
E3: 180 -- North: 0, East: 0, South: 122, West: 515
L90: 180 -- North: 0, East: 512, South: 122, West: 0
E1: 90 -- North: 0, East: 512, South: 122, West: 0
F95: 90 -- North: 0, East: 513, South: 122, West: 0
W3: 90 -- North: 0, East: 608, South: 122, West: 0
E5: 90 -- North: 0, East: 0, South: 122, West: 605
L90: 90 -- North: 0, East: 600, South: 122, West: 0
F58: 0 -- North: 0, East: 600, South: 122, West: 0
R90: 0 -- North: 64, East: 600, South: 0, West: 0
F26: 90 -- North: 64, East: 600, South: 0, West: 0
R90: 90 -- North: 64, East: 626, South: 0, West: 0
L180: 180 -- North: 64, East: 626, South: 0, West: 0
N1: 0 -- North: 64, East: 626, South: 0, West: 0
F14: 0 -- North: 65, East: 626, South: 0, West: 0
L90: 0 -- North: 79, East: 626, South: 0, West: 0
N4: 270 -- North: 79, East: 626, South: 0, West: 0
E5: 270 -- North: 83, East: 626, South: 0, West: 0
S2: 270 -- North: 83, East: 631, South: 0, West: 0
E1: 270 -- North: 0, East: 631, South: 81, West: 0
R90: 270 -- North: 0, East: 632, South: 81, West: 0
W5: 0 -- North: 0, East: 632, South: 81, West: 0
S5: 0 -- North: 0, East: 0, South: 81, West: 627
L90: 0 -- North: 0, East: 0, South: 86, West: 627
S5: 270 -- North: 0, East: 0, South: 86, West: 627
R270: 270 -- North: 0, East: 0, South: 91, West: 627
F96: 180 -- North: 0, East: 0, South: 91, West: 627
L90: 180 -- North: 0, East: 0, South: 187, West: 627
W3: 90 -- North: 0, East: 0, South: 187, West: 627
F48: 90 -- North: 0, East: 0, South: 187, West: 630
S5: 90 -- North: 0, East: 582, South: 187, West: 0
W4: 90 -- North: 0, East: 582, South: 192, West: 0
F76: 90 -- North: 0, East: 0, South: 192, West: 578
L90: 90 -- North: 0, East: 502, South: 192, West: 0
S3: 0 -- North: 0, East: 502, South: 192, West: 0
W5: 0 -- North: 0, East: 502, South: 195, West: 0
S3: 0 -- North: 0, East: 0, South: 195, West: 497
F71: 0 -- North: 0, East: 0, South: 198, West: 497
S1: 0 -- North: 127, East: 0, South: 0, West: 497
F96: 0 -- North: 0, East: 0, South: 126, West: 497
N4: 0 -- North: 30, East: 0, South: 0, West: 497
R90: 0 -- North: 34, East: 0, South: 0, West: 497
E5: 90 -- North: 34, East: 0, South: 0, West: 497
F16: 90 -- North: 34, East: 492, South: 0, West: 0
L270: 90 -- North: 34, East: 508, South: 0, West: 0
N2: 180 -- North: 34, East: 508, South: 0, West: 0
L90: 180 -- North: 36, East: 508, South: 0, West: 0
N2: 90 -- North: 36, East: 508, South: 0, West: 0
R90: 90 -- North: 38, East: 508, South: 0, West: 0
S1: 180 -- North: 38, East: 508, South: 0, West: 0
N2: 180 -- North: 0, East: 508, South: 37, West: 0
R90: 180 -- North: 35, East: 508, South: 0, West: 0
F13: 270 -- North: 35, East: 508, South: 0, West: 0
L90: 270 -- North: 35, East: 0, South: 0, West: 495
N2: 180 -- North: 35, East: 0, South: 0, West: 495
L90: 180 -- North: 37, East: 0, South: 0, West: 495
F67: 90 -- North: 37, East: 0, South: 0, West: 495
R180: 90 -- North: 37, East: 428, South: 0, West: 0
F26: 270 -- North: 37, East: 428, South: 0, West: 0
R270: 270 -- North: 37, East: 0, South: 0, West: 402
R270: 180 -- North: 37, East: 0, South: 0, West: 402
W1: 90 -- North: 37, East: 0, South: 0, West: 402
S4: 90 -- North: 37, East: 0, South: 0, West: 403
R180: 90 -- North: 0, East: 0, South: 33, West: 403
E2: 270 -- North: 0, East: 0, South: 33, West: 403
F86: 270 -- North: 0, East: 401, South: 33, West: 0
S5: 270 -- North: 0, East: 0, South: 33, West: 315
E5: 270 -- North: 0, East: 0, South: 38, West: 315
N4: 270 -- North: 0, East: 310, South: 38, West: 0
W5: 270 -- North: 34, East: 310, South: 0, West: 0
N4: 270 -- North: 34, East: 0, South: 0, West: 305
L90: 270 -- North: 38, East: 0, South: 0, West: 305
E4: 180 -- North: 38, East: 0, South: 0, West: 305
F96: 180 -- North: 38, East: 301, South: 0, West: 0
R180: 180 -- North: 0, East: 301, South: 58, West: 0
F61: 0 -- North: 0, East: 301, South: 58, West: 0
W4: 0 -- North: 3, East: 301, South: 0, West: 0
L90: 0 -- North: 3, East: 0, South: 0, West: 297
F45: 270 -- North: 3, East: 0, South: 0, West: 297
L90: 270 -- North: 3, East: 0, South: 0, West: 342
F62: 180 -- North: 3, East: 0, South: 0, West: 342
E4: 180 -- North: 0, East: 0, South: 59, West: 342
N5: 180 -- North: 0, East: 338, South: 59, West: 0
E4: 180 -- North: 54, East: 338, South: 0, West: 0
R90: 180 -- North: 54, East: 342, South: 0, West: 0
N3: 270 -- North: 54, East: 342, South: 0, West: 0
L90: 270 -- North: 57, East: 342, South: 0, West: 0
F53: 180 -- North: 57, East: 342, South: 0, West: 0
N4: 180 -- North: 0, East: 342, South: 4, West: 0
W1: 180 -- North: 0, East: 342, South: 0, West: 0
L90: 180 -- North: 0, East: 0, South: 0, West: 341
F82: 90 -- North: 0, East: 0, South: 0, West: 341
F33: 90 -- North: 0, East: 259, South: 0, West: 0
N3: 90 -- North: 0, East: 292, South: 0, West: 0
F24: 90 -- North: 3, East: 292, South: 0, West: 0
R90: 90 -- North: 3, East: 316, South: 0, West: 0
F97: 180 -- North: 3, East: 316, South: 0, West: 0
E3: 180 -- North: 0, East: 316, South: 94, West: 0
F13: 180 -- North: 0, East: 319, South: 94, West: 0
N5: 180 -- North: 0, East: 319, South: 107, West: 0
R90: 180 -- North: 102, East: 319, South: 0, West: 0
W4: 270 -- North: 102, East: 319, South: 0, West: 0
N1: 270 -- North: 102, East: 0, South: 0, West: 315
E5: 270 -- North: 103, East: 0, South: 0, West: 315
L90: 270 -- North: 103, East: 310, South: 0, West: 0
E2: 180 -- North: 103, East: 310, South: 0, West: 0
L180: 180 -- North: 103, East: 312, South: 0, West: 0
S2: 0 -- North: 103, East: 312, South: 0, West: 0
F41: 0 -- North: 0, East: 312, South: 101, West: 0
N1: 0 -- North: 60, East: 312, South: 0, West: 0
E2: 0 -- North: 61, East: 312, South: 0, West: 0
S1: 0 -- North: 61, East: 314, South: 0, West: 0
F98: 0 -- North: 0, East: 314, South: 60, West: 0
E2: 0 -- North: 38, East: 314, South: 0, West: 0
R180: 0 -- North: 38, East: 316, South: 0, West: 0
F70: 180 -- North: 38, East: 316, South: 0, West: 0
N4: 180 -- North: 0, East: 316, South: 32, West: 0
F33: 180 -- North: 28, East: 316, South: 0, West: 0
N5: 180 -- North: 0, East: 316, South: 5, West: 0
F64: 180 -- North: 0, East: 316, South: 0, West: 0
R180: 180 -- North: 0, East: 316, South: 64, West: 0
W1: 0 -- North: 0, East: 316, South: 64, West: 0
R180: 0 -- North: 0, East: 0, South: 64, West: 315
F24: 180 -- North: 0, East: 0, South: 64, West: 315
N1: 180 -- North: 0, East: 0, South: 88, West: 315
L180: 180 -- North: 87, East: 0, South: 0, West: 315
W1: 0 -- North: 87, East: 0, South: 0, West: 315
L90: 0 -- North: 87, East: 0, South: 0, West: 316
E1: 270 -- North: 87, East: 0, South: 0, West: 316
N3: 270 -- North: 87, East: 315, South: 0, West: 0
E1: 270 -- North: 90, East: 315, South: 0, West: 0
L90: 270 -- North: 90, East: 316, South: 0, West: 0
W3: 180 -- North: 90, East: 316, South: 0, West: 0
S5: 180 -- North: 90, East: 0, South: 0, West: 313
E4: 180 -- North: 0, East: 0, South: 85, West: 313
L90: 180 -- North: 0, East: 309, South: 85, West: 0
W1: 90 -- North: 0, East: 309, South: 85, West: 0
F26: 90 -- North: 0, East: 0, South: 85, West: 308
L90: 90 -- North: 0, East: 282, South: 85, West: 0
N1: 0 -- North: 0, East: 282, South: 85, West: 0
W2: 0 -- North: 84, East: 282, South: 0, West: 0
F22: 0 -- North: 84, East: 0, South: 0, West: 280
W4: 0 -- North: 106, East: 0, South: 0, West: 280
S1: 0 -- North: 106, East: 0, South: 0, West: 284
R90: 0 -- North: 0, East: 0, South: 105, West: 284
S3: 90 -- North: 0, East: 0, South: 105, West: 284
R90: 90 -- North: 0, East: 0, South: 108, West: 284
F7: 180 -- North: 0, East: 0, South: 108, West: 284
E1: 180 -- North: 0, East: 0, South: 115, West: 284
S5: 180 -- North: 0, East: 283, South: 115, West: 0
W5: 180 -- North: 0, East: 283, South: 120, West: 0
L180: 180 -- North: 0, East: 0, South: 120, West: 278
F55: 0 -- North: 0, East: 0, South: 120, West: 278
E4: 0 -- North: 65, East: 0, South: 0, West: 278
N5: 0 -- North: 65, East: 274, South: 0, West: 0
R90: 0 -- North: 70, East: 274, South: 0, West: 0
F29: 90 -- North: 70, East: 274, South: 0, West: 0
L90: 90 -- North: 70, East: 303, South: 0, West: 0
S3: 0 -- North: 70, East: 303, South: 0, West: 0
F9: 0 -- North: 0, East: 303, South: 67, West: 0
S4: 0 -- North: 58, East: 303, South: 0, West: 0
R270: 0 -- North: 0, East: 303, South: 54, West: 0
F72: 270 -- North: 0, East: 303, South: 54, West: 0
W4: 270 -- North: 0, East: 0, South: 54, West: 231
N3: 270 -- North: 0, East: 0, South: 54, West: 235
L180: 270 -- North: 51, East: 0, South: 0, West: 235
W2: 90 -- North: 51, East: 0, South: 0, West: 235
L90: 90 -- North: 51, East: 0, South: 0, West: 237
S4: 0 -- North: 51, East: 0, South: 0, West: 237
F84: 0 -- North: 0, East: 0, South: 47, West: 237
N1: 0 -- North: 37, East: 0, South: 0, West: 237
F40: 0 -- North: 38, East: 0, South: 0, West: 237
N3: 0 -- North: 78, East: 0, South: 0, West: 237
F100: 0 -- North: 81, East: 0, South: 0, West: 237
N5: 0 -- North: 181, East: 0, South: 0, West: 237
R180: 0 -- North: 186, East: 0, South: 0, West: 237
S4: 180 -- North: 186, East: 0, South: 0, West: 237
R90: 180 -- North: 0, East: 0, South: 182, West: 237
S2: 270 -- North: 0, East: 0, South: 182, West: 237
L90: 270 -- North: 0, East: 0, South: 184, West: 237
W1: 180 -- North: 0, East: 0, South: 184, West: 237
N5: 180 -- North: 0, East: 0, South: 184, West: 238
E4: 180 -- North: 179, East: 0, South: 0, West: 238
S5: 180 -- North: 179, East: 234, South: 0, West: 0
R90: 180 -- North: 0, East: 234, South: 174, West: 0
F23: 270 -- North: 0, East: 234, South: 174, West: 0
L90: 270 -- North: 0, East: 0, South: 174, West: 211
E4: 180 -- North: 0, East: 0, South: 174, West: 211
E1: 180 -- North: 0, East: 207, South: 174, West: 0
R180: 180 -- North: 0, East: 208, South: 174, West: 0
S2: 0 -- North: 0, East: 208, South: 174, West: 0
F81: 0 -- North: 0, East: 208, South: 176, West: 0
S5: 0 -- North: 95, East: 208, South: 0, West: 0
E1: 0 -- North: 0, East: 208, South: 90, West: 0
E1: 0 -- North: 0, East: 209, South: 90, West: 0
R90: 0 -- North: 0, East: 210, South: 90, West: 0
F72: 90 -- North: 0, East: 210, South: 90, West: 0
N2: 90 -- North: 0, East: 282, South: 90, West: 0
W4: 90 -- North: 88, East: 282, South: 0, West: 0
S3: 90 -- North: 88, East: 0, South: 0, West: 278
L180: 90 -- North: 0, East: 0, South: 85, West: 278
N5: 270 -- North: 0, East: 0, South: 85, West: 278
W2: 270 -- North: 80, East: 0, South: 0, West: 278
F50: 270 -- North: 80, East: 0, South: 0, West: 280
W5: 270 -- North: 80, East: 0, South: 0, West: 330
F28: 270 -- North: 80, East: 0, South: 0, West: 335
L90: 270 -- North: 80, East: 0, South: 0, West: 363
E3: 180 -- North: 80, East: 0, South: 0, West: 363
R90: 180 -- North: 80, East: 360, South: 0, West: 0
N2: 270 -- North: 80, East: 360, South: 0, West: 0
N2: 270 -- North: 82, East: 360, South: 0, West: 0
L90: 270 -- North: 84, East: 360, South: 0, West: 0
N5: 180 -- North: 84, East: 360, South: 0, West: 0
F84: 180 -- North: 89, East: 360, South: 0, West: 0
N5: 180 -- North: 0, East: 360, South: 5, West: 0
F85: 180 -- North: 0, East: 360, South: 0, West: 0
